Week Number,Tract Number,Abandoned property,ISD-Buildings,Illegal parking,Power outage,Street light issue,TV/monitor pick up
9,350104,0.0,0.0,5.0,0.0,0.0,1.0
9,350200,0.0,0.0,2.0,0.0,0.0,1.0
9,350300,0.0,0.0,1.0,0.0,0.0,1.0
9,350400,0.0,0.0,1.0,0.0,1.0,1.0
9,350500,0.0,0.0,1.0,0.0,0.0,0.0
9,350600,0.0,1.0,1.0,0.0,0.0,0.0
9,350700,0.0,0.0,2.0,0.0,1.0,2.0
9,350800,0.0,0.0,1.0,0.0,0.0,0.0
9,350900,0.0,0.0,1.0,0.0,0.0,0.0
9,351000,0.0,0.0,2.0,0.0,1.0,0.0
9,351100,0.0,3.0,0.0,0.0,0.0,4.0
9,351203,0.0,1.0,0.0,0.0,0.0,0.0
9,351204,1.0,0.0,1.0,0.0,0.0,0.0
9,351300,1.0,0.0,1.0,0.0,1.0,0.0
9,351403,0.0,0.0,2.0,0.0,1.0,0.0
9,351404,0.0,0.0,1.0,0.0,1.0,0.0
9,351500,1.0,0.0,2.0,0.0,0.0,0.0
10,350104,0.0,2.0,3.0,0.0,0.0,1.0
10,350200,0.0,0.0,5.0,0.0,0.0,3.0
10,350300,0.0,0.0,1.0,0.0,0.0,0.0
10,350400,0.0,0.0,3.0,0.0,0.0,4.0
10,350500,0.0,1.0,0.0,0.0,1.0,1.0
10,350600,0.0,0.0,1.0,0.0,0.0,0.0
10,350700,0.0,0.0,0.0,0.0,0.0,1.0
10,350800,0.0,1.0,0.0,0.0,0.0,1.0
10,350900,0.0,1.0,2.0,0.0,2.0,1.0
10,351000,0.0,3.0,1.0,0.0,1.0,5.0
10,351100,0.0,2.0,0.0,0.0,0.0,2.0
10,351203,0.0,3.0,4.0,0.0,0.0,3.0
10,351204,1.0,0.0,1.0,0.0,0.0,0.0
10,351300,0.0,2.0,1.0,0.0,0.0,2.0
10,351403,0.0,2.0,4.0,0.0,0.0,3.0
10,351404,0.0,1.0,5.0,0.0,0.0,1.0
10,351500,0.0,1.0,3.0,0.0,0.0,1.0
11,350103,0.0,0.0,1.0,0.0,0.0,1.0
11,350104,0.0,1.0,2.0,1.0,0.0,1.0
11,350200,0.0,4.0,9.0,1.0,0.0,1.0
11,350300,0.0,0.0,2.0,0.0,0.0,1.0
11,350400,0.0,0.0,3.0,0.0,0.0,1.0
11,350500,0.0,0.0,3.0,0.0,0.0,0.0
11,350600,0.0,0.0,1.0,0.0,0.0,0.0
11,350700,0.0,1.0,2.0,0.0,0.0,1.0
11,350800,0.0,0.0,6.0,0.0,0.0,1.0
11,350900,0.0,0.0,2.0,0.0,0.0,1.0
11,351000,0.0,1.0,7.0,0.0,1.0,0.0
11,351100,1.0,1.0,6.0,3.0,0.0,2.0
11,351203,0.0,1.0,0.0,0.0,0.0,6.0
11,351204,0.0,1.0,2.0,0.0,0.0,0.0
11,351300,0.0,0.0,3.0,3.0,0.0,0.0
11,351403,0.0,0.0,1.0,0.0,0.0,3.0
11,351404,0.0,0.0,3.0,0.0,0.0,2.0
11,351500,0.0,0.0,5.0,0.0,0.0,0.0
12,350103,1.0,0.0,0.0,0.0,0.0,1.0
12,350104,3.0,2.0,5.0,0.0,1.0,6.0
12,350200,0.0,1.0,5.0,0.0,1.0,4.0
