incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
7026331,07/21/2007 12:50:00 AM,XX,15 TENNYSON STREET,,I,NA,120,ROBBERY,-71.10003,42.39183,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
8035903,10/06/2008 09:46:00 AM,XX,422 MYSTIC AVE,,S,35,23F,THEFT FROM MOTOR VEHICLE,-71.08901,42.39509,25,017,350104,1400000US25017350104,25017350104,3501.04,CT,917458,1616
5042153,12/24/2005 04:43:00 AM,XX,709 MCGRATH HWY,,,NA,120,ROBBERY,-71.08673,42.39063,25,017,350104,1400000US25017350104,25017350104,3501.04,CT,917458,1616
8000319,01/03/2008 07:00:00 PM,XX,ABERDEEN RD,,S,97,23F,THEFT FROM MOTOR VEHICLE,-71.11355,42.39205,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
7017731,05/23/2007 11:33:00 AM,XX,ACADIA PK,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.11692,42.38826,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
8019411,06/08/2008 10:14:00 AM,XX,ADAMS ST,,S,64,240,MOTOR VEHICLE THEFT,-71.09955,42.39566,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
9016751,05/11/2009 11:01:00 PM,XX,ADRIAN ST,,S,58,240,MOTOR VEHICLE THEFT,-71.09894,42.37731,25,017,351203,1400000US25017351203,25017351203,3512.03,CT,407690,0
13000765,01/06/2013 08:56:00 AM,XX,ALBION PL,,S,70,23F,THEFT FROM MOTOR VEHICLE,-71.10828,42.39247,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
13030072,08/08/2013 04:42:15 PM,XX,ALBION ST E,,S,33,240,MOTOR VEHICLE THEFT,-71.10714,42.39139,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
6023666,07/12/2006 12:12:00 PM,XX,ALBION ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.10714,42.39139,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
13008302,02/28/2013 12:11:18 AM,XX,ALDERSEY STREET,,S,22,120,ROBBERY,-71.09756,42.38356,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
5007186,03/06/2005 06:13:00 PM,XX,ALEWIFE BROOK PKY,,,NA,240,MOTOR VEHICLE THEFT,-71.13431,42.40441,25,017,350700,1400000US25017350700,25017350700,3507,CT,783926,29493
