incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y
7026331,07/21/2007 12:50:00 AM,XX,15 TENNYSON STREET,,I,NA,120,ROBBERY,-71.1000258,42.3918254
8035903,10/06/2008 09:46:00 AM,XX,422 MYSTIC AVE,,S,35,23F,THEFT FROM MOTOR VEHICLE,-71.0890077,42.395087
5042153,12/24/2005 04:43:00 AM,XX,709 MCGRATH HWY,,,NA,120,ROBBERY,-71.086728,42.390629
8000319,01/03/2008 07:00:00 PM,XX,ABERDEEN RD,,S,97,23F,THEFT FROM MOTOR VEHICLE,-71.1135465,42.3920485
7017731,05/23/2007 11:33:00 AM,XX,ACADIA PK,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1169224,42.3882612
8019411,06/08/2008 10:14:00 AM,XX,ADAMS ST,,S,64,240,MOTOR VEHICLE THEFT,-71.0995474,42.3956576
9016751,05/11/2009 11:01:00 PM,XX,ADRIAN ST,,S,58,240,MOTOR VEHICLE THEFT,-71.0989407,42.3773079
13000765,01/06/2013 08:56:00 AM,XX,ALBION PL,,S,70,23F,THEFT FROM MOTOR VEHICLE,-71.1082782,42.3924723
13030072,08/08/2013 04:42:15 PM,XX,ALBION ST E,,S,33,240,MOTOR VEHICLE THEFT,-71.1071395,42.3913877
6023666,07/12/2006 12:12:00 PM,XX,ALBION ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.1071395,42.3913877
13008302,02/28/2013 12:11:18 AM,XX,ALDERSEY STREET,,S,22,120,ROBBERY,-71.0975623,42.3835577
5007186,03/06/2005 06:13:00 PM,XX,ALEWIFE BROOK PKY,,,NA,240,MOTOR VEHICLE THEFT,-71.1343051,42.4044075
7000831,01/08/2007 08:23:00 AM,XX,ALEWIFE BROOK PKY,,P,NA,220,BURGLARY/BREAKING AND ENTERING,-71.1343051,42.4044075
12018142,05/13/2012 08:23:00 PM,XX,ALLEN ST,,S,25,23F,THEFT FROM MOTOR VEHICLE,-71.0931158,42.3786491
16004443,01/25/2016 12:18:52 PM,XX,ALLEN ST,,S,25,23F,THEFT FROM MOTOR VEHICLE,-71.0931158,42.3786491
8025079,07/20/2008 12:21:00 PM,XX,ALSTON ST,,S,18,240,MOTOR VEHICLE THEFT,-71.0889992,42.3812442
5030585,09/18/2005 11:00:00 AM,XX,AMES ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.1022027,42.3923579
6033197,09/21/2006 11:42:00 PM,XX,ARLINGTON ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0821199,42.3860112
16078699,12/15/2016 01:04:19 PM,XX,ARTISAN WAY,,S,4,23F,THEFT FROM MOTOR VEHICLE,-71.0793023,42.3951406
14040002,11/13/2014 02:14:21 PM,XX,ARTISAN WAY,,S,1,23F,THEFT FROM MOTOR VEHICLE,-71.0793023,42.3951406
6003039,01/27/2006 08:19:00 PM,XX,ASH AVE,,,NA,120,ROBBERY,-71.0955993,42.3984653
